epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,190.871,0.91393,0.14892,0.1422,0.70802,1.22869,0.8861,0.77778,0.8963,0.61564,0.8861,0.77778,0.90087,0.89721,1.1103,0.117,0.01761,1.06222,1.61833,0.00127092,0.00127092,0.00127092
38,195.498,0.92424,0.15072,0.13149,0.68562,1.25091,0.86904,0.84839,0.90494,0.64188,0.86904,0.84839,0.90494,0.90494,1.04792,0.11546,0.02134,0.9508,1.57274,0.00125992,0.00125992,0.00125992
39,201.304,0.86096,0.13955,0.14364,0.64712,1.20462,0.91354,0.90946,0.93912,0.67,0.91354,0.90946,0.94144,0.94005,0.97017,0.07406,0.00979,0.69507,1.47029,0.00124892,0.00124892,0.00124892
40,205.919,0.85959,0.12399,0.14691,0.6182,1.20299,0.90451,0.86111,0.90283,0.63557,0.90451,0.86111,0.90283,0.90283,1.03852,0.08151,0.02219,0.92411,1.51371,0.00123791,0.00123791,0.00123791
41,210.471,0.89053,0.13132,0.1228,0.6973,1.2154,0.90041,0.87952,0.94591,0.67405,0.90041,0.87952,0.94591,0.94591,1.0263,0.08053,0.02114,0.72468,1.49393,0.00122691,0.00122691,0.00122691
42,216.24,0.86625,0.14653,0.11571,0.65643,1.22125,0.87368,0.92359,0.96917,0.68754,0.87368,0.92359,0.96917,0.96917,1.00226,0.09356,0.01127,0.71139,1.51517,0.00121591,0.00121591,0.00121591
43,220.769,0.90565,0.14233,0.14587,0.65146,1.23246,0.90194,0.93093,0.96444,0.68371,0.90194,0.93093,0.96444,0.96444,1.02493,0.07246,0.00896,0.60101,1.49854,0.00120491,0.00120491,0.00120491
44,225.266,0.87263,0.16259,0.13511,0.64578,1.19313,0.94942,0.91255,0.95578,0.67708,0.94942,0.91255,0.95578,0.95578,1.01664,0.06284,0.01212,0.68428,1.50994,0.00119391,0.00119391,0.00119391
45,230.948,0.89078,0.10882,0.11631,0.61835,1.22172,0.89129,0.93093,0.96922,0.71494,0.89129,0.93093,0.96922,0.96922,0.95431,0.06483,0.00779,0.58532,1.45339,0.0011829,0.0011829,0.0011829
46,235.597,0.89962,0.1245,0.13143,0.64378,1.23191,0.91247,0.96205,0.97936,0.71297,0.91247,0.96205,0.97936,0.97936,1.03604,0.0618,0.04331,0.57901,1.53127,0.0011719,0.0011719,0.0011719
47,240.325,0.85046,0.1107,0.12522,0.62921,1.17099,0.9562,0.93837,0.97929,0.7042,0.9562,0.93837,0.97929,0.97929,1.04555,0.0708,0.0209,0.5157,1.54815,0.0011609,0.0011609,0.0011609
48,245.849,0.89022,0.11153,0.1192,0.59875,1.18425,0.88432,0.95012,0.9671,0.67091,0.88432,0.95012,0.9671,0.9671,1.08116,0.07893,0.02714,0.58209,1.56925,0.0011499,0.0011499,0.0011499
49,250.318,0.90267,0.1281,0.11465,0.66131,1.21777,0.84752,0.93342,0.9409,0.63052,0.84752,0.93342,0.9409,0.9409,1.25074,0.07795,0.04952,0.68001,1.61108,0.00113889,0.00113889,0.00113889
50,255.293,0.91413,0.13073,0.12949,0.65698,1.20932,0.92365,0.93946,0.94496,0.67196,0.92365,0.93946,0.94496,0.94496,1.01915,0.05991,0.02749,0.59158,1.5313,0.00112789,0.00112789,0.00112789
51,260.615,0.85471,0.1277,0.11891,0.60964,1.18642,0.9096,0.83333,0.84038,0.57172,0.9096,0.83333,0.84038,0.84038,1.09551,0.0692,0.09344,0.95461,1.62589,0.00111689,0.00111689,0.00111689
52,265.054,0.87515,0.12222,0.13947,0.63754,1.1824,0.90522,0.90535,0.96496,0.67435,0.90522,0.90535,0.96496,0.96496,1.02147,0.10271,0.06497,0.63307,1.5186,0.00110589,0.00110589,0.00110589
53,270.058,0.85236,0.12647,0.1332,0.6247,1.22308,0.86064,0.95832,0.96989,0.68154,0.86064,0.95832,0.96989,0.96989,1.11882,0.09963,0.02664,0.69513,1.58061,0.00109489,0.00109489,0.00109489
54,275.298,0.82691,0.12739,0.10971,0.60495,1.16295,0.95284,0.90716,0.96417,0.67484,0.95284,0.90716,0.96417,0.96417,1.11859,0.08597,0.02168,0.70187,1.58611,0.00108388,0.00108388,0.00108388
55,279.836,0.88628,0.11649,0.11271,0.63847,1.23619,0.83097,0.99575,0.97736,0.69154,0.83097,0.99575,0.97736,0.97736,1.07331,0.05179,0.01721,0.57896,1.51027,0.00107288,0.00107288,0.00107288
56,285.143,0.79803,0.12466,0.13035,0.60118,1.1602,0.93816,0.92973,0.99067,0.72786,0.93816,0.92973,0.99067,0.99067,1.04049,0.0834,0.00747,0.55978,1.50351,0.00106188,0.00106188,0.00106188
57,290.242,0.82075,0.12661,0.11174,0.59201,1.16827,0.94795,0.95871,0.98696,0.70627,0.94795,0.95871,0.98696,0.98696,1.05924,0.07456,0.01219,0.54962,1.54309,0.00105088,0.00105088,0.00105088
58,294.657,0.78755,0.11696,0.12567,0.57861,1.15634,0.8718,0.98132,0.97753,0.70185,0.8718,0.98132,0.97753,0.97753,1.04555,0.06985,0.01065,0.57345,1.53061,0.00103987,0.00103987,0.00103987
59,300.232,0.80526,0.12977,0.10598,0.56113,1.14536,0.85456,0.94233,0.9631,0.69004,0.85456,0.94233,0.9631,0.96234,1.03337,0.08212,0.01051,0.64935,1.52233,0.00102887,0.00102887,0.00102887
60,304.986,0.82684,0.12472,0.10057,0.57781,1.15725,0.85918,0.92374,0.95443,0.67696,0.85918,0.92374,0.95443,0.95443,1.02548,0.06297,0.02052,0.72801,1.51451,0.00101787,0.00101787,0.00101787
61,309.511,0.82898,0.11455,0.12074,0.56157,1.15191,0.86754,0.9125,0.95597,0.66803,0.86754,0.9125,0.95597,0.95597,1.0612,0.06172,0.00769,0.6839,1.55104,0.00100687,0.00100687,0.00100687
62,316.113,0.86068,0.13957,0.11443,0.57303,1.18869,0.86062,0.93688,0.96086,0.68934,0.86062,0.93688,0.96086,0.96086,1.02302,0.05352,0.01175,0.6486,1.48842,0.000995866,0.000995866,0.000995866
63,320.676,0.81989,0.12666,0.11263,0.57616,1.17786,0.88918,0.90667,0.95336,0.69371,0.88918,0.90667,0.95336,0.9527,1.03546,0.04745,0.01335,0.64746,1.49158,0.000984864,0.000984864,0.000984864
64,325.317,0.81235,0.10547,0.09425,0.57917,1.14808,0.87986,0.90181,0.93682,0.67191,0.87986,0.90181,0.93682,0.93682,1.04118,0.06919,0.0098,0.61782,1.54381,0.000973861,0.000973861,0.000973861
65,331.146,0.804,0.10815,0.09784,0.55549,1.1694,0.82707,0.90315,0.933,0.66295,0.82707,0.90315,0.933,0.933,1.06015,0.04854,0.03226,0.67029,1.53135,0.000962859,0.000962859,0.000962859
